date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,horizon
2025-03-31,2030-03-31,Class A,Utah,Salt Lake City,"Salt Lake City,Utah",41620,G2-41620,1310880.0,359021.1979,251314.83853,107706.35937000002,0.04971690448083055,0.02639076428765875,0.07150000000000001,-0.04510923571234125,46.53573036193806,0.07748682161199194,3476.043233859091,1.5208859652665085,0.8887690273275197,0.05164132213127837,0.04563321434469558,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Utah,Salt Lake City,"Salt Lake City,Utah",41620,G2-41620,1310880.0,289570.1808,202699.12655999998,86871.05424,0.05036868672541073,0.029279691590277532,0.0715,-0.04222030840972246,46.50961607694598,0.08647061975745451,7021.244221506204,1.5822409988589146,0.8983911633753282,0.031327563520864965,0.025149707817115452,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Utah,Salt Lake City,"Salt Lake City,Utah",41620,G2-41620,1310880.0,182601.788,127821.25159999999,54780.53640000001,0.050497278519787914,0.0382692409170353,0.07150000000000001,-0.03323075908296471,47.00500518083503,0.10963310447341668,11224.831481901034,1.7346761894297007,0.9231867562148534,-0.0016665634310479849,-0.0001991998962903585,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Texas,San Antonio,"San Antonio,Texas",41700,G2-41700,2777758.0,178391.1952,124873.83663999998,53517.35856000001,0.058610522908635554,0.043809070635575216,0.07150000000000001,-0.027690929364424792,56.52889609336895,0.1428737408648335,21267.34027966926,1.9942432696477883,0.894975977805811,0.0307766916572354,0.02190272875227217,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Texas,San Antonio,"San Antonio,Texas",41700,G2-41700,2777758.0,150420.6489,105294.45422999999,45126.19467000001,0.057459469941883556,0.045365313379542575,0.07150000000000001,-0.026134686620457433,56.648775935172964,0.14387009128430606,18097.647899064956,1.9961400960576103,0.867375517763673,0.03362611644625413,0.019778193673890998,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Texas,San Antonio,"San Antonio,Texas",41700,G2-41700,2777758.0,89815.69,62870.983,26944.707000000002,0.054931028827483575,0.05637180129010457,0.07150000000000001,-0.015128198709895437,56.86003714799805,0.16599807427278068,13848.751213058978,2.1271395092389813,0.8608656117370264,-6.905631154141556e-05,-0.0006576545002634493,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,California,San Diego,"San Diego,California",41740,G2-41740,3308048.0,580219.3438,406153.54066,174065.80314000003,0.05868828486325994,0.03240545584121882,0.07150000000000001,-0.039094544158781185,47.402307391167035,0.11513053466662848,42523.02032981269,1.805810911175331,0.9246836948211055,0.042961164816942565,0.032240492358015516,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,California,San Diego,"San Diego,California",41740,G2-41740,3308048.0,413977.3528,289784.14696,124193.20584000001,0.058186511139548314,0.037195193346242376,0.07150000000000001,-0.03430480665375763,47.23887890577296,0.1257108828961282,37501.428035076824,1.8751440243327886,0.9484349703201848,0.007478260519124369,0.008648275176197373,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,California,San Diego,"San Diego,California",41740,G2-41740,3308048.0,329575.8548,230703.09835999997,98872.75644,0.059751876142530636,0.035358908213501884,0.07150000000000001,-0.036141091786498124,47.747381031513974,0.1249731649607364,29684.7600638851,1.8773486616127575,0.9603994992901421,-0.0009467967895026019,-0.000339185302190792,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,California,San Francisco,"San Francisco,California",41884,G2-41884,1580919.0,616894.6465,431826.25255,185068.39395000006,0.053598100916210534,0.03789925162462119,0.07150000000000001,-0.03360074837537882,42.07629710435805,0.11651576047395595,45360.625270522985,1.791819252621234,0.931793472431448,0.01986686867691323,0.018207817561551654,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,California,San Francisco,"San Francisco,California",41884,G2-41884,1580919.0,497542.8262,348279.97834,149262.84786000004,0.057789878877279044,0.038347013690574916,0.07150000000000001,-0.03315298630942509,45.59934139251702,0.1277640635699493,46609.23540090301,1.8860585556239138,0.9563220199821898,0.007945995765935132,0.007687573720545737,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,California,San Francisco,"San Francisco,California",41884,G2-41884,1580919.0,516036.4297,361225.50078999996,154810.92891000002,0.06079936179924905,0.029223716111428873,0.07150000000000001,-0.04227628388857113,46.97922617197002,0.11277209112707309,36110.4936002162,1.7971588450506615,0.9577248343092666,-0.00027061157639696187,-0.00027827741280450624,5 Yrs Ahead (2025-2030)
